geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER,shift_px,ncc_before,ncc_after,ncc_verified
POINT (81.69888671478286 40.154182744691354),661,1760,192,81.69888671478286,40.154182744691354,False,False,64.0,64.0,-0.2713012397289276,0.09591573476791382,-0.0027130123972938236,-0.0009591573476797066,0.0028775717342019377,70.52948115553167,0.1558754970340523,0.1584291944189765,True,46.385147224085074,-9999,[],False,False,False,False,0.2877571734197461,-0.07159209251403809,-0.07159209251403809,True
POINT (82.97888671478285 40.154182744691354),665,1888,192,82.97888671478285,40.154182744691354,False,False,100.0,100.0,14.640623837709427,-8.814567491412163,0.14640623837709654,0.08814567491412362,0.17089308541248113,238.94943984814765,0.204565585123935,0.24121307734341066,True,0.0,-9999,[],False,False,False,False,17.089308541247817,-0.18841451406478882,-0.15281374752521515,True
POINT (73.37888671478285 39.834182744691354),736,928,224,73.37888671478285,39.834182744691354,False,False,64.0,64.0,0.49634575843811035,0.2863055169582367,0.00496673583984375,-0.002864837646484375,0.005733738653361797,299.9775085449219,-0.006964218013706324,-0.004599557811441037,True,0.0,-9999,[],False,False,False,False,0.5730008385336152,-0.14459212124347687,-0.14459212124347687,True
POINT (78.17888671478285 39.834182744691354),751,1408,224,78.17888671478285,39.834182744691354,False,False,64.0,64.0,-0.33804699778556824,0.378098726272583,-0.00337982177734375,-0.003780364990234375,0.00507093220949173,41.79895782470703,0.07740394290657023,0.081723975359819,True,0.0,-9999,[],False,False,False,False,0.507182826523913,-0.05846593901515007,-0.05846593901515007,True
POINT (80.09888671478285 39.834182744691354),757,1600,224,80.09888671478285,39.834182744691354,False,False,64.0,64.0,0.14472909271717072,-0.3261379599571228,0.0014472909271745493,0.0032613795995715122,0.003568087431717867,203.93004339398445,0.18630378652946417,0.18882905573660805,True,0.0,-9999,[],False,False,False,False,0.35680874317164546,0.11989224702119827,0.11989224702119827,True
POINT (72.41888671478286 39.514182744691354),834,832,256,72.41888671478286,39.514182744691354,False,False,64.0,64.0,0.06023413687944412,-0.0790247842669487,0.00060272216796875,0.000789642333984375,0.0009933826513588428,217.31532287597656,0.041868745773449144,0.04287681455935585,True,25.35947416560697,-9999,[],False,False,False,False,0.09936331201227842,0.13282915949821472,0.13282915949821472,True
POINT (72.73888671478285 39.514182744691354),835,864,256,72.73888671478285,39.514182744691354,False,False,64.0,64.0,0.1956411451101303,-0.2966095209121704,0.001953125,0.00296783447265625,0.003552849404513836,213.4085235595703,0.013998524725144916,0.016107005125712552,True,0.0,-9999,[],False,False,False,False,0.35532051102596135,0.013553524389863014,0.013553524389863014,True
POINT (75.29888671478285 39.514182744691354),843,1120,256,75.29888671478285,39.514182744691354,False,False,64.0,64.0,-1.1750405132770538,0.2703016996383667,-0.011750405132772812,-0.002703016996385088,0.012057293297711569,77.04527277526888,0.02738514305429542,0.03864315547656298,True,0.0,-9999,[],False,False,False,False,1.2057293297709033,0.19330066442489624,0.21168945729732513,True
POINT (75.93888671478285 39.514182744691354),845,1184,256,75.93888671478285,39.514182744691354,False,False,64.0,64.0,-0.3202400505542755,0.3037668466567993,-0.003204345703125,-0.0030364990234375,0.004414539318531752,46.51219940185547,0.012511747907343619,0.023139996770674676,True,0.0,-9999,[],False,False,False,False,0.4413932340972394,0.20786736905574799,0.20786736905574799,True
POINT (78.81888671478285 39.514182744691354),854,1472,256,78.81888671478285,39.514182744691354,False,False,64.0,64.0,-0.21133144199848175,-0.33309030532836914,-0.00211334228515625,0.003330230712890625,0.003944192081689835,147.6066436767578,0.3077246841526132,0.3108487167941018,True,0.0,-9999,[],False,False,False,False,0.3944744983910922,0.6971988677978516,0.6971988677978516,True
POINT (79.13888671478286 39.514182744691354),855,1504,256,79.13888671478286,39.514182744691354,False,False,64.0,64.0,0.3330451548099518,-0.16929884254932404,0.00333404541015625,0.0016937255859375,0.0037395942490547895,243.05413818359375,0.23947346872738676,0.24693170702263442,True,13.991007104366275,-9999,[],False,False,False,False,0.37360563864980084,0.6445561051368713,0.6445561051368713,True
POINT (80.73888671478285 39.514182744691354),860,1664,256,80.73888671478285,39.514182744691354,False,False,64.0,64.0,0.452400803565979,0.20642933249473572,0.00452423095703125,-0.002063751220703125,0.004972699098289013,294.527099609375,0.18832086560159872,0.19699638868826697,True,0.0,-9999,[],False,False,False,False,0.49727211502492846,-0.202499657869339,-0.202499657869339,True
