geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (80.63553464130872 31.899340213422988),842,1664,1024,80.63553464130872,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (81.27164057305417 31.899340213422988),843,1728,1024,81.27164057305417,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (81.9077465047996 31.899340213422988),844,1792,1024,81.9077465047996,31.899340213422988,False,False,256.0,256.0,-0.15212149918082402,-0.246060699224521,-0.0015212149918113482,0.002460606992244152,0.002892867404772022,148.27450199081034,0.16294312212854115,0.16394237585502847,True,0.0,-9999,[],True,False,False,True
POINT (82.54385243654505 31.899340213422988),845,1856,1024,82.54385243654505,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (83.1799583682905 31.899340213422988),846,1920,1024,83.1799583682905,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (83.81606430003595 31.899340213422988),847,1984,1024,83.81606430003595,31.899340213422988,False,False,256.0,256.0,0.22220690548419952,-0.3766069710254669,0.00222015380859375,0.003765106201171875,0.004370938986539841,210.54161071777344,0.19068312046955077,0.19380411510263687,True,39.84260370364668,-9999,[],False,False,False,False
POINT (84.45217023178138 31.899340213422988),848,2048,1024,84.45217023178138,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (85.08827616352683 31.899340213422988),849,2112,1024,85.08827616352683,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (85.72438209527226 31.899340213422988),850,2176,1024,85.72438209527226,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (86.36048802701771 31.899340213422988),851,2240,1024,86.36048802701771,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (86.99659395876316 31.899340213422988),852,2304,1024,86.99659395876316,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (87.6326998905086 31.899340213422988),853,2368,1024,87.6326998905086,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (88.26880582225404 31.899340213422988),854,2432,1024,88.26880582225404,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (88.90491175399949 31.899340213422988),855,2496,1024,88.90491175399949,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (89.54101768574492 31.899340213422988),856,2560,1024,89.54101768574492,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (90.17712361749037 31.899340213422988),857,2624,1024,90.17712361749037,31.899340213422988,False,False,256.0,256.0,0.18125371634960175,0.2903958857059479,0.0018157958984375,-0.002902984619140625,0.003424096154049039,328.0292053222656,0.21962198919645462,0.22384548086053818,True,1.5509272778680128,-9999,[],True,False,False,True
POINT (90.81322954923581 31.899340213422988),858,2688,1024,90.81322954923581,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (91.44933548098126 31.899340213422988),859,2752,1024,91.44933548098126,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (92.0854414127267 31.899340213422988),860,2816,1024,92.0854414127267,31.899340213422988,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
