geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,OUTLIER
POINT (73.95642235798158 40.804823257859184),435,992,128,73.95642235798158,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.2744753238543 40.804823257859184),436,1024,128,74.2744753238543,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.59252828972703 40.804823257859184),437,1056,128,74.59252828972703,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.91058125559974 40.804823257859184),438,1088,128,74.91058125559974,40.804823257859184,False,False,128.0,128.0,39.77268581093149,-41.717786371716215,0.39772685810923747,0.4171778637170789,0.5763887782018238,223.63266352098768,0.11814428972378495,0.11374527385804767,False,0.0,-9999,[],True,True
POINT (75.22863422147246 40.804823257859184),439,1120,128,75.22863422147246,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.54668718734519 40.804823257859184),440,1152,128,75.54668718734519,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (75.86474015321791 40.804823257859184),441,1184,128,75.86474015321791,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.18279311909063 40.804823257859184),442,1216,128,76.18279311909063,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.50084608496334 40.804823257859184),443,1248,128,76.50084608496334,40.804823257859184,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (76.81889905083607 40.804823257859184),444,1280,128,76.81889905083607,40.804823257859184,False,False,122.0,122.0,0.20697732269768065,25.571558415894827,0.0020697732269781,-0.2557155841588994,0.25572396043964724,359.53625555825215,0.10188673180716452,-9999.0,False,14.693086941614865,-9999,[],True,True
POINT (77.13695201670879 40.804823257859184),445,1312,128,77.13695201670879,40.804823257859184,False,False,114.0,114.0,0.32777491211897697,10.545604795219612,0.0032777491211959386,-0.105456047952174,0.10550697459880425,358.21972515299234,0.1175897389493013,-9999.0,False,0.0,-9999,[],True,True
POINT (77.45500498258151 40.804823257859184),446,1344,128,77.45500498258151,40.804823257859184,False,False,106.0,106.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (77.77305794845424 40.804823257859184),447,1376,128,77.77305794845424,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (78.09111091432696 40.804823257859184),448,1408,128,78.09111091432696,40.804823257859184,False,False,100.0,100.0,0.3306961357594194,0.36564627289779306,0.0033069613575946732,-0.0036564627289763507,0.004930082464727906,317.87332258155413,-9999.0,-9999.0,False,0.0,-9999,[],True,True
POINT (78.40916388019969 40.804823257859184),449,1440,128,78.40916388019969,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (78.7272168460724 40.804823257859184),450,1472,128,78.7272168460724,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
